"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksbanut  ","P",02/03/2015 13:59,0,1,1         ,1         ,"",0.0050,<1> (CSM) ,0.07,<0>  ,0.034,<0>  ,0.504,<0>  ,0.538,<0>  ,"",
"lksbanut  ","P",04/28/2015 6:00,0,1,2         ,1         ,"",6.5E-4,<-4> [SBL] ,0.122,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.287,<0>  ,"",
"lksbanut  ","P",04/28/2015 8:00,0,1,2         ,1         ,"",6.5E-4,<-4> [SBL] ,0.126,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.278,<0>  ,"",
"lksbanut  ","P",04/28/2015 12:01,0,1,1         ,1         ,"",6.5E-4,<-4> [SBL] ,0.129,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.271,<0>  ,"",
"lksbanut  ","P",04/28/2015 12:04,0,1,1         ,2         ,"",6.5E-4,<-4> [SBL] ,0.152,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.272,<0>  ,"",
"lksbanut  ","P",05/25/2015 10:00,0,1,2         ,1         ,"",0.0098,<1> (CSM) ,0.054,<1> (CSM) ,0.017,<1> (CSM) ,0.189,<0>  ,0.206,<1> (CSM) ,"",
"lksbanut  ","P",05/25/2015 12:00,0,1,2         ,1         ,"",0.0072,<1> (CSM) ,0.036,<1> (CSM) ,0.017,<1> (CSM) ,0.178,<0>  ,0.195,<1> (CSM) ,"",
"lksbanut  ","P",05/25/2015 14:00,0,1,2         ,1         ,"",0.0151,<0>  ,0.043,<1> (CSM) ,0.015,<1> (CSM) ,0.18,<0>  ,0.195,<1> (CSM) ,"",
"lksbanut  ","P",05/25/2015 16:00,0,1,2         ,1         ,"",0.0073,<1> (CSM) ,0.03,<1> (CSM) ,0.014,<1> (CSM) ,0.175,<0>  ,0.189,<1> (CSM) ,"",
"lksbanut  ","P",05/25/2015 18:00,0,1,2         ,1         ,"",0.0055,<1> (CSM) ,0.026,<1> (CSM) ,0.014,<1> (CSM) ,0.173,<0>  ,0.187,<1> (CSM) ,"",
"lksbanut  ","P",05/25/2015 20:00,0,1,2         ,1         ,"",0.0050,<1> (CSM) ,0.028,<1> (CSM) ,0.01,<1> (CSM) ,0.169,<0>  ,0.179,<1> (CSM) ,"",
"lksbanut  ","P",05/25/2015 22:00,0,1,2         ,1         ,"",0.0072,<1> (CSM) ,0.034,<1> (CSM) ,0.014,<1> (CSM) ,0.178,<0>  ,0.192,<1> (CSM) ,"",
"lksbanut  ","P",05/26/2015 0:00,0,1,2         ,1         ,"",0.01,<1> (CSM) ,0.033,<1> (CSM) ,0.013,<1> (CSM) ,0.175,<0>  ,0.188,<1> (CSM) ,"",
"lksbanut  ","P",05/26/2015 2:00,0,1,2         ,1         ,"",0.0073,<1> (CSM) ,0.03,<1> (CSM) ,0.014,<1> (CSM) ,0.181,<0>  ,0.195,<1> (CSM) ,"",
"lksbanut  ","P",05/26/2015 4:00,0,1,2         ,1         ,"",0.0061,<1> (CSM) ,0.033,<1> (CSM) ,0.014,<1> (CSM) ,0.17,<0>  ,0.184,<1> (CSM) ,"",
"lksbanut  ","P",05/26/2015 6:00,0,1,2         ,1         ,"",0.0055,<1> (CSM) ,0.032,<1> (CSM) ,0.015,<1> (CSM) ,0.164,<0>  ,0.179,<1> (CSM) ,"",
"lksbanut  ","P",05/26/2015 8:00,0,1,2         ,1         ,"",0.0069,<1> (CSM) ,0.037,<1> (CSM) ,0.012,<1> (CSM) ,0.179,<0>  ,0.191,<1> (CSM) ,"",
"lksbanut  ","P",05/26/2015 11:32,0,1,1         ,1         ,"",0.0602,<0>  ,0.054,<1> (CSM) ,0.01,<1> (CSM) ,0.173,<0>  ,0.183,<1> (CSM) ,"",
"lksbanut  ","P",05/26/2015 11:35,0,1,1         ,2         ,"",0.0132,<1> (CSM) ,0.061,<1> (CSM) ,0.011,<1> (CSM) ,0.173,<0>  ,0.184,<1> (CSM) ,"",
"lksbanut  ","P",06/22/2015 10:00,0,1,2         ,1         ,"",0.0145,<0>  ,0.142,<0>  ,0.018,<0>  ,0.268,<0>  ,0.286,<0>  ,"",
"lksbanut  ","P",06/22/2015 12:00,0,1,2         ,1         ,"",0.015,<0>  ,0.142,<0>  ,0.018,<0>  ,0.271,<0>  ,0.289,<0>  ,"",
"lksbanut  ","P",06/22/2015 14:00,0,1,2         ,1         ,"",0.0154,<0>  ,0.139,<0>  ,0.079,<0>  ,0.223,<0>  ,0.302,<0>  ,"",
"lksbanut  ","P",06/22/2015 16:00,0,1,2         ,1         ,"",0.0129,<0>  ,0.114,<0>  ,0.016,<0>  ,0.24,<0>  ,0.256,<0>  ,"",
"lksbanut  ","P",06/22/2015 18:00,0,1,2         ,1         ,"",0.0143,<0>  ,0.125,<0>  ,0.019,<0>  ,0.27,<0>  ,0.289,<0>  ,"",
"lksbanut  ","P",06/22/2015 20:00,0,1,2         ,1         ,"",0.0149,<0>  ,0.13,<0>  ,0.018,<0>  ,0.266,<0>  ,0.284,<0>  ,"",
"lksbanut  ","P",06/22/2015 22:00,0,1,2         ,1         ,"",0.0147,<0>  ,0.121,<0>  ,0.018,<0>  ,0.26,<0>  ,0.278,<0>  ,"",
"lksbanut  ","P",06/23/2015 0:00,0,1,2         ,1         ,"",0.0157,<0>  ,0.122,<0>  ,0.018,<0>  ,0.266,<0>  ,0.284,<0>  ,"",
"lksbanut  ","P",06/23/2015 2:00,0,1,2         ,1         ,"",0.016,<0>  ,0.13,<0>  ,0.018,<0>  ,0.265,<0>  ,0.283,<0>  ,"",
"lksbanut  ","P",06/23/2015 4:00,0,1,2         ,1         ,"",0.0168,<0>  ,0.132,<0>  ,0.018,<0>  ,0.268,<0>  ,0.286,<0>  ,"",
"lksbanut  ","P",06/23/2015 6:00,0,1,2         ,1         ,"",0.0166,<0>  ,0.131,<0>  ,0.018,<0>  ,0.27,<0>  ,0.288,<0>  ,"",
"lksbanut  ","P",06/23/2015 8:00,0,1,2         ,1         ,"",0.0167,<0>  ,0.138,<0>  ,0.018,<0>  ,0.267,<0>  ,0.285,<0>  ,"",
"lksbanut  ","P",06/23/2015 11:20,0,1,1         ,1         ,"",0.0163,<0>  ,0.144,<0>  ,0.018,<0>  ,0.272,<0>  ,0.29,<0>  ,"",
"lksbanut  ","P",06/23/2015 11:21,0,1,1         ,2         ,"",0.0165,<0>  ,0.147,<0>  ,0.018,<0>  ,0.273,<0>  ,0.291,<0>  ,"",
"lksbanut  ","P",07/20/2015 10:00,0,1,2         ,1         ,"",0.0065,<0>  ,0.011,<1> (CSM) ,0.016,<1> (CSM) ,0.253,<0>  ,0.269,<0>  ,"",
"lksbanut  ","P",07/20/2015 12:00,0,1,2         ,1         ,"",0.0067,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.016,<1> (CSM) ,0.247,<0>  ,0.263,<0>  ,"",
"lksbanut  ","P",07/20/2015 14:00,0,1,2         ,1         ,"",0.0056,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.016,<1> (CSM) ,0.237,<0>  ,0.253,<0>  ,"",
"lksbanut  ","P",07/20/2015 16:00,0,1,2         ,1         ,"",0.0054,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.015,<1> (CSM) ,0.24,<0>  ,0.255,<0>  ,"",
"lksbanut  ","P",07/20/2015 18:00,0,1,2         ,1         ,"",0.0046,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.015,<1> (CSM) ,0.233,<0>  ,0.248,<0>  ,"",
"lksbanut  ","P",07/20/2015 20:00,0,1,2         ,1         ,"",0.0045,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.015,<1> (CSM) ,0.239,<0>  ,0.254,<0>  ,"",
"lksbanut  ","P",07/20/2015 22:00,0,1,2         ,1         ,"",0.0051,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.015,<1> (CSM) ,0.24,<0>  ,0.255,<0>  ,"",
"lksbanut  ","P",07/21/2015 0:00,0,1,2         ,1         ,"",0.0057,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.015,<1> (CSM) ,0.267,<0>  ,0.282,<0>  ,"",
"lksbanut  ","P",07/21/2015 2:00,0,1,2         ,1         ,"",0.0065,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.015,<1> (CSM) ,0.281,<0>  ,0.296,<0>  ,"",
"lksbanut  ","P",07/21/2015 4:00,0,1,2         ,1         ,"",0.0066,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.015,<1> (CSM) ,0.275,<0>  ,0.29,<0>  ,"",
"lksbanut  ","P",07/21/2015 6:00,0,1,2         ,1         ,"",0.0058,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.015,<1> (CSM) ,0.27,<0>  ,0.285,<0>  ,"",
"lksbanut  ","P",07/21/2015 8:00,0,1,2         ,1         ,"",0.0056,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.015,<1> (CSM) ,0.259,<0>  ,0.274,<0>  ,"",
"lksbanut  ","P",07/21/2015 11:37,0,1,1         ,1         ,"",0.0063,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.014,<1> (CSM) ,0.239,<0>  ,0.253,<0>  ,"",
"lksbanut  ","P",07/21/2015 11:38,0,1,1         ,2         ,"",0.0078,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.014,<1> (CSM) ,0.239,<0>  ,0.253,<0>  ,"",
"lksbanut  ","P",08/25/2015 10:00,0,1,2         ,1         ,"",0.0019,<0>  ,0.011,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.27,<0>  ,"",
"lksbanut  ","P",08/25/2015 12:00,0,1,2         ,1         ,"",0.0016,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.266,<0>  ,"",
"lksbanut  ","P",08/25/2015 14:00,0,1,2         ,1         ,"",0.0017,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.284,<0>  ,"",
"lksbanut  ","P",08/25/2015 16:00,0,1,2         ,1         ,"",0.0014,<0>  ,0.0090,<1> (CSM) ,0.0090,<1> (CSM) ,0.271,<0>  ,0.28,<0>  ,"",
"lksbanut  ","P",08/25/2015 18:00,0,1,2         ,1         ,"",0.0015,<0>  ,0.01,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.272,<0>  ,"",
"lksbanut  ","P",08/25/2015 20:00,0,1,2         ,1         ,"",0.0015,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.269,<0>  ,"",
"lksbanut  ","P",08/25/2015 22:00,0,1,2         ,1         ,"",0.0017,<0>  ,0.012,<1> (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.269,<0>  ,"",
"lksbanut  ","P",08/26/2015 0:00,0,1,2         ,1         ,"",0.0018,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.267,<0>  ,"",
"lksbanut  ","P",08/26/2015 2:00,0,1,2         ,1         ,"",0.0018,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.255,<0>  ,"",
"lksbanut  ","P",08/26/2015 4:00,0,1,2         ,1         ,"",0.0021,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.258,<0>  ,"",
"lksbanut  ","P",08/26/2015 6:00,0,1,2         ,1         ,"",0.0021,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.26,<0>  ,"",
"lksbanut  ","P",08/26/2015 8:00,0,1,2         ,1         ,"",0.0024,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.263,<0>  ,"",
"lksbanut  ","P",08/26/2015 11:03,0,1,1         ,1         ,"",0.0029,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.256,<0>  ,"",
"lksbanut  ","P",08/26/2015 11:05,0,1,1         ,2         ,"",0.0028,<0>  ,0.0087,<-4> [SBL] (CSM) ,0.0083,<-4> [SBL] ,"",<-4> [SCB] ,0.254,<0>  ,"",
"lksbanut  ","P",09/23/2015 10:00,0,1,2         ,1         ,"",0.0044,<0>  ,0.052,<0>  ,0.016,<1> (CSM) ,0.246,<0>  ,0.262,<0>  ,"",
"lksbanut  ","P",09/23/2015 12:00,0,1,2         ,1         ,"",0.0037,<0>  ,0.045,<0>  ,0.016,<1> (CSM) ,0.246,<0>  ,0.262,<0>  ,"",
"lksbanut  ","P",09/23/2015 14:00,0,1,2         ,1         ,"",0.0098,<0>  ,0.066,<0>  ,0.016,<1> (CSM) ,0.262,<0>  ,0.278,<0>  ,"",
"lksbanut  ","P",09/23/2015 16:00,0,1,2         ,1         ,"",0.0122,<0>  ,0.062,<0>  ,0.016,<1> (CSM) ,0.271,<0>  ,0.287,<0>  ,"",
"lksbanut  ","P",09/23/2015 18:00,0,1,2         ,1         ,"",0.013,<0>  ,0.065,<0>  ,0.018,<1> (CSM) ,0.292,<0>  ,0.31,<0>  ,"",
"lksbanut  ","P",09/23/2015 20:00,0,1,2         ,1         ,"",0.0145,<0>  ,0.066,<0>  ,0.018,<1> (CSM) ,0.31,<0>  ,0.328,<0>  ,"",
"lksbanut  ","P",09/23/2015 22:00,0,1,2         ,1         ,"",0.0119,<0>  ,0.063,<0>  ,0.018,<1> (CSM) ,0.301,<0>  ,0.319,<0>  ,"",
"lksbanut  ","P",09/24/2015 0:00,0,1,2         ,1         ,"",0.0115,<0>  ,0.068,<0>  ,0.018,<1> (CSM) ,0.299,<0>  ,0.317,<0>  ,"",
"lksbanut  ","P",09/24/2015 2:00,0,1,2         ,1         ,"",0.0126,<0>  ,0.078,<0>  ,0.02,<1> (CSM) ,0.313,<0>  ,0.333,<0>  ,"",
"lksbanut  ","P",09/24/2015 4:00,0,1,2         ,1         ,"",0.0122,<0>  ,0.083,<0>  ,0.022,<1> (CSM) ,0.327,<0>  ,0.349,<0>  ,"",
"lksbanut  ","P",09/24/2015 6:00,0,1,2         ,1         ,"",0.0122,<0>  ,0.093,<0>  ,0.021,<1> (CSM) ,0.323,<0>  ,0.344,<0>  ,"",
"lksbanut  ","P",09/24/2015 8:00,0,1,2         ,1         ,"",0.0128,<0>  ,0.097,<0>  ,0.021,<1> (CSM) ,0.311,<0>  ,0.332,<0>  ,"",
"lksbanut  ","P",09/24/2015 12:10,0,1,1         ,1         ,"",0.0159,<0>  ,0.103,<0>  ,0.017,<1> (CSM) ,0.307,<0>  ,0.324,<0>  ,"",
"lksbanut  ","P",09/24/2015 12:11,0,1,1         ,2         ,"",0.017,<0>  ,0.11,<0>  ,0.019,<1> (CSM) ,0.323,<0>  ,0.342,<0>  ,"",
"lksbanut  ","P",10/19/2015 10:00,0,1,2         ,1         ,"",0.0234,<0>  ,0.138,<0>  ,0.042,<1> (CSM) ,0.43,<0>  ,0.472,<0>  ,"",
"lksbanut  ","P",10/19/2015 12:00,0,1,2         ,1         ,"",0.023,<0>  ,0.124,<0>  ,0.04,<1> (CSM) ,0.417,<0>  ,0.457,<0>  ,"",
"lksbanut  ","P",10/19/2015 14:00,0,1,2         ,1         ,"",0.0232,<0>  ,0.125,<0>  ,0.041,<1> (CSM) ,0.415,<0>  ,0.456,<0>  ,"",
"lksbanut  ","P",10/19/2015 16:00,0,1,2         ,1         ,"",0.023,<0>  ,0.121,<0>  ,0.042,<1> (CSM) ,0.403,<0>  ,0.445,<0>  ,"",
"lksbanut  ","P",10/19/2015 18:00,0,1,2         ,1         ,"",0.0233,<0>  ,0.115,<0>  ,0.04,<1> (CSM) ,0.4,<0>  ,0.44,<0>  ,"",
"lksbanut  ","P",10/19/2015 20:00,0,1,2         ,1         ,"",0.024,<0>  ,0.12,<0>  ,0.041,<1> (CSM) ,0.405,<0>  ,0.446,<0>  ,"",
"lksbanut  ","P",10/19/2015 22:00,0,1,2         ,1         ,"",0.0237,<0>  ,0.121,<0>  ,0.04,<1> (CSM) ,0.403,<0>  ,0.443,<0>  ,"",
"lksbanut  ","P",10/20/2015 0:00,0,1,2         ,1         ,"",0.0234,<0>  ,0.12,<0>  ,0.039,<1> (CSM) ,0.394,<0>  ,0.433,<0>  ,"",
"lksbanut  ","P",10/20/2015 2:00,0,1,2         ,1         ,"",0.0234,<0>  ,0.121,<0>  ,0.039,<1> (CSM) ,0.399,<0>  ,0.438,<0>  ,"",
"lksbanut  ","P",10/20/2015 4:00,0,1,2         ,1         ,"",0.0237,<0>  ,0.125,<0>  ,0.039,<1> (CSM) ,0.405,<0>  ,0.444,<0>  ,"",
"lksbanut  ","P",10/20/2015 6:00,0,1,2         ,1         ,"",0.0231,<0>  ,0.125,<0>  ,0.039,<1> (CSM) ,0.406,<0>  ,0.445,<0>  ,"",
"lksbanut  ","P",10/20/2015 8:00,0,1,2         ,1         ,"",0.0233,<0>  ,0.125,<0>  ,0.038,<1> (CSM) ,0.415,<0>  ,0.453,<0>  ,"",
"lksbanut  ","P",10/20/2015 12:06,0,1,1         ,1         ,"",0.0232,<0>  ,0.118,<0>  ,0.04,<1> (CSM) ,0.403,<0>  ,0.443,<0>  ,"",
"lksbanut  ","P",10/20/2015 12:08,0,1,1         ,2         ,"",0.0231,<0>  ,0.128,<0>  ,0.04,<1> (CSM) ,0.397,<0>  ,0.437,<0>  ,"",
"lksbanut  ","P",11/16/2015 10:00,0,1,2         ,1         ,"",0.0375,<0>  ,0.13,<0>  ,0.024,<1> (CSM) ,0.444,<0>  ,0.468,<1> (CSM) ,"",
"lksbanut  ","P",11/16/2015 12:00,0,1,2         ,1         ,"",0.0359,<0>  ,0.116,<0>  ,0.023,<1> (CSM) ,0.43,<0>  ,0.453,<1> (CSM) ,"",
"lksbanut  ","P",11/16/2015 14:00,0,1,2         ,1         ,"",0.0367,<0>  ,0.116,<0>  ,0.023,<1> (CSM) ,0.439,<0>  ,0.462,<1> (CSM) ,"",
"lksbanut  ","P",11/16/2015 16:00,0,1,2         ,1         ,"",0.0371,<0>  ,0.11,<0>  ,0.022,<1> (CSM) ,0.451,<0>  ,0.473,<1> (CSM) ,"",
"lksbanut  ","P",11/16/2015 18:00,0,1,2         ,1         ,"",0.0372,<0>  ,0.111,<0>  ,0.023,<1> (CSM) ,0.444,<0>  ,0.467,<1> (CSM) ,"",
"lksbanut  ","P",11/16/2015 20:00,0,1,2         ,1         ,"",0.038,<0>  ,0.113,<0>  ,0.026,<1> (CSM) ,0.459,<0>  ,0.485,<1> (CSM) ,"",
"lksbanut  ","P",11/16/2015 22:00,0,1,2         ,1         ,"",0.0389,<0>  ,0.113,<0>  ,0.024,<1> (CSM) ,0.451,<0>  ,0.475,<1> (CSM) ,"",
"lksbanut  ","P",11/17/2015 0:00,0,1,2         ,1         ,"",0.0376,<0>  ,0.113,<0>  ,0.026,<1> (CSM) ,0.427,<0>  ,0.453,<1> (CSM) ,"",
"lksbanut  ","P",11/17/2015 2:00,0,1,2         ,1         ,"",0.0338,<0>  ,0.104,<0>  ,0.023,<1> (CSM) ,0.386,<0>  ,0.409,<1> (CSM) ,"",
"lksbanut  ","P",11/17/2015 4:00,0,1,2         ,1         ,"",0.0378,<0>  ,0.111,<0>  ,0.023,<1> (CSM) ,0.429,<0>  ,0.452,<1> (CSM) ,"",
"lksbanut  ","P",11/17/2015 6:00,0,1,2         ,1         ,"",0.0373,<0>  ,0.112,<0>  ,0.022,<1> (CSM) ,0.43,<0>  ,0.452,<1> (CSM) ,"",
"lksbanut  ","P",11/17/2015 8:00,0,1,2         ,1         ,"",0.0378,<0>  ,0.112,<0>  ,0.023,<1> (CSM) ,0.43,<0>  ,0.453,<1> (CSM) ,"",
"lksbanut  ","P",11/17/2015 10:58,0,1,1         ,1         ,"",0.038,<0>  ,0.115,<0>  ,0.024,<1> (CSM) ,0.406,<0>  ,0.43,<1> (CSM) ,"",
"lksbanut  ","P",11/17/2015 11:00,0,1,1         ,2         ,"",0.0384,<0>  ,0.112,<0>  ,0.024,<1> (CSM) ,0.365,<0>  ,0.389,<1> (CSM) ,"",

